RECLOC,DEP_KEY,Path,Score
AFAJ53,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",586500
AIGU50,ZZ20240505AMDHYD2223,['INV-ZZ-5430563'],745500
ATNB22,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1000500
AZON15,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",598000
AZXJ72,ZZ20240505AMDHYD2223,"['INV-ZZ-3136377', 'INV-ZZ-1351331', 'INV-ZZ-2960204']",860000
BBZC52,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",713000
BDCV62,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1702000
BGVH87,ZZ20240505AMDHYD2223,['INV-ZZ-8908940'],430500
BKBA48,ZZ20240505AMDHYD2223,['INV-ZZ-8908940'],2331000
BPLG41,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1000500
BTKY23,ZZ20240505AMDHYD2223,['INV-ZZ-8908940'],703500
CAEI40,ZZ20240505AMDHYD2223,['INV-ZZ-5430563'],1281000
CEHI73,ZZ20240505AMDHYD2223,['INV-ZZ-5430563'],1386000
CODF11,ZZ20240505AMDHYD2223,['INV-ZZ-9772042'],1270500
COLS70,ZZ20240505AMDHYD2223,['INV-ZZ-9772042'],430500
DDIA25,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1127000
DJWG48,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1472000
DTNO66,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1449000
DYYT32,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1000500
EEIB58,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",517500
EJFI16,ZZ20240505AMDHYD2223,['INV-ZZ-8908940'],861000
EQRJ63,ZZ20240505AMDHYD2223,['INV-ZZ-8908940'],1071000
EURZ68,ZZ20240505AMDHYD2223,['INV-ZZ-5430563'],157500
EYSR99,ZZ20240505AMDHYD2223,['INV-ZZ-8908940'],1596000
GARS29,ZZ20240505AMDHYD2223,['INV-ZZ-5430563'],1207500
GDMM37,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",2587500
GMTF21,ZZ20240505AMDHYD2223,['INV-ZZ-9772042'],987000
